"","create_date","version_id","user_id","manuscript_id","manuscript_DOI","actionability","concreteness_confidence","discovery_value","expertise"
"40",2017-05-02 13:11:00,1,10,271,"10.1038/srep31175",3.7,2.84,3.12,4.47
"41",2017-07-13 20:12:00,2,13,329,"10.1038/nrn3687",5,5,4.76,5
"42",2017-07-13 20:13:00,2,13,347,"10.7554/elife.18805",3.92,4.53,5,5
"43",2017-07-13 20:17:00,2,13,350,"10.1016/j.pneurobio.2012.09.004",3.35,5,5,5
"44",2016-11-21 14:32:00,1,15,23,"10.15252/emmm.201606271",3.34,4.3,4.05,0
"45",2016-11-21 15:08:00,1,15,24,"10.1038/srep32422",3.46,2.65,3.58,0
"46",2016-11-21 04:08:00,1,15,25,"10.3389/fncir.2016.00083",2.89,2.6,3.14,0
"47",2016-11-28 03:16:00,1,15,29,"10.1523/jneurosci.3081-14.2015",2.9,4.38,3.87,0
"48",2016-11-27 22:23:00,1,15,30,"10.1038/ncomms5486",3.15,3.96,3.29,0
"49",2016-11-27 23:27:00,1,15,31,"10.1126/science.aaf1288",3.17,3.87,4.42,0
"50",2016-12-06 04:40:00,1,15,49,"10.1016/j.bbadis.2015.10.014",3.84,2.99,3.69,0
"51",2016-12-06 03:50:00,1,15,50,"10.1126/science.aad4821",4.04,4.79,4.37,0
"52",2016-12-06 16:07:00,1,15,51,"10.1126/science.1241224",3.51,4.17,3.78,0
"53",2017-01-29 19:42:00,1,15,128,"10.1196/annals.1440.013",2.06,2.87,2.51,0.61
"54",2017-03-06 15:52:00,1,15,152,"10.1038/nrn3357",1.89,3.85,2.5,0
"55",2017-03-24 13:06:00,1,15,184,"10.1016/s0079-6123(05)50009-8",2.58,2.56,2.58,2.61
"56",2017-04-13 15:23:00,1,15,252,"10.4103/0973-1229.109335",2.37,2.6,2.61,0
"57",2016-11-27 21:44:00,1,17,6,"10.1007/s00406-016-0725-2",3.33,2.72,3.74,2.32
"58",2016-11-27 21:39:00,1,17,8,"10.1016/j.neuron.2015.03.040",3.43,3.31,3.63,2.22
"59",2016-11-16 21:21:00,1,17,20,"10.1021/acs.nanolett.6b01988",3.8,1.79,2.97,2.29
"60",2016-11-27 21:51:00,1,17,23,"10.15252/emmm.201606271",4.06,2.87,4.17,2.88
"61",2016-11-27 21:55:00,1,17,24,"10.1038/srep32422",3.94,3.06,4.06,1.97
"62",2016-11-27 21:54:00,1,17,25,"10.3389/fncir.2016.00083",2.05,4.11,2.14,2
"63",2016-11-28 03:26:00,1,17,29,"10.1523/jneurosci.3081-14.2015",3.81,3.8,4.17,2.85
"64",2016-11-28 05:21:00,1,17,30,"10.1038/ncomms5486",3.02,3.84,4.05,2.52
"65",2016-11-28 02:49:00,1,17,31,"10.1126/science.aaf1288",2.66,3.8,2.58,1.97
"66",2016-11-27 21:22:00,1,17,32,"10.1007/978-1-4757-9800-5_69",2.82,3,3.13,1.07
"67",2016-11-27 21:26:00,1,17,33,"10.1523/jneurosci.0518-16.2016",3.23,3.1,2.98,1.37
"68",2016-11-27 21:29:00,1,17,34,"10.1523/jneurosci.1041-16.2016",3.39,3.22,3.34,2.26
"69",2016-11-27 21:30:00,1,17,35,"10.1038/nature08002",3.54,3.55,3.55,2.28
"70",2016-11-27 21:31:00,1,17,36,"10.1016/j.cell.2015.11.038",3.39,3.56,3.42,1.96
"71",2016-11-27 21:32:00,1,17,37,"10.1038/nature04258",3.65,3.73,3.76,1.76
"72",2016-11-27 21:35:00,1,17,38,"10.1073/pnas.1517629112",3.66,3.6,3.76,2.43
"73",2016-11-27 21:37:00,1,17,39,"10.1016/j.neuron.2016.01.001",2.91,3.54,3.83,2.24
"74",2016-11-27 21:38:00,1,17,40,"10.1523/jneurosci.2969-10.2010",3.19,3.26,3.21,2.24
"75",2016-11-27 21:41:00,1,17,41,"10.1038/srep32775",2.83,3,3.08,2.22
"76",2016-11-27 21:43:00,1,17,42,"10.1371/journal.pbio.1002263",3.49,3.59,3.48,2.37
"77",2016-11-27 21:46:00,1,17,43,"10.1016/j.neuron.2013.09.014",2.74,3.21,3.83,2.35
"78",2016-11-27 21:47:00,1,17,44,"10.1002/dneu.22351",3.1,3.08,3.08,2.05
"79",2016-11-27 21:48:00,1,17,45,"10.1073/pnas.1523717113",3.77,3.38,3.8,2.12
"80",2016-11-27 21:50:00,1,17,46,"10.1098/rstb.2015.0428",1.79,4.21,1.75,2.09
"81",2017-02-28 14:06:00,1,18,35,"10.1038/nature08002",3.48,4.25,3.88,2.68
"82",2017-02-14 06:12:00,1,18,135,"10.1016/j.neuron.2014.01.025",3.3,3.7,3.76,1.52
"83",2017-02-14 06:12:00,1,18,136,"10.1038/35090500",3.32,3.36,3.63,1.52
"84",2017-03-28 11:54:00,1,18,139,"10.1073/pnas.1604135113",4.42,4.35,4.92,3.52
"85",2017-03-08 16:47:00,1,18,153,"10.1038/nn.3797",3.71,4.26,4.16,2.6
"86",2017-03-08 16:47:00,1,18,154,"10.1016/j.neuron.2016.09.003",3.27,3.5,3.5,2.54
